date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:09:15	2848/2848	---M--	200	added ('OK')	image/jpeg	etag:e46fa8dbddc9c4961bce3c459f055f07	https://i.vimeocdn.com/video/752027083_160x90.jpg?r=pad	/home/koteeshv/Desktop/thenx-clone/thenx-clone/i.vimeocdn.com/video/752027083_160x908862.jpg	(from https://www.thenx.com/featured_workouts/901?level=intermediate)
11:09:16	2075/2075	---M--	200	added ('OK')	image/jpeg	etag:126aa950fdbb0308c0b3fedc622bb02f	https://i.vimeocdn.com/video/754823096_160x90.jpg?r=pad	/home/koteeshv/Desktop/thenx-clone/thenx-clone/i.vimeocdn.com/video/754823096_160x908862.jpg	(from https://www.thenx.com/featured_workouts/901?level=intermediate)
11:09:17	2233/2233	---M--	200	added ('OK')	image/jpeg	etag:566a399e1ca8751bd500a7b891b350d4	https://i.vimeocdn.com/video/752271618_160x90.jpg?r=pad	/home/koteeshv/Desktop/thenx-clone/thenx-clone/i.vimeocdn.com/video/752271618_160x908862.jpg	(from https://www.thenx.com/featured_workouts/901?level=intermediate)
11:09:18	2599/2599	---M--	200	added ('OK')	image/jpeg	etag:7976a06b5615e0d481cd04811c22aad1	https://i.vimeocdn.com/video/753102291_160x90.jpg?r=pad	/home/koteeshv/Desktop/thenx-clone/thenx-clone/i.vimeocdn.com/video/753102291_160x908862.jpg	(from https://www.thenx.com/featured_workouts/901?level=intermediate)
11:09:19	2106/2106	---M--	200	added ('OK')	image/jpeg	etag:33ab395da66099554c516aa6b9ca316c	https://i.vimeocdn.com/video/752026635_160x90.jpg?r=pad	/home/koteeshv/Desktop/thenx-clone/thenx-clone/i.vimeocdn.com/video/752026635_160x908862.jpg	(from https://www.thenx.com/featured_workouts/901?level=intermediate)
11:09:20	2246/2246	---M--	200	added ('OK')	image/jpeg	etag:80d3806c48d595354c19200befbf33fd	https://i.vimeocdn.com/video/751515591_160x90.jpg?r=pad	/home/koteeshv/Desktop/thenx-clone/thenx-clone/i.vimeocdn.com/video/751515591_160x908862.jpg	(from https://www.thenx.com/featured_workouts/901?level=intermediate)
11:09:21	2021/2021	---M--	200	added ('OK')	image/jpeg	etag:8f2e936a3e2da6d92bd17428ad4f9d30	https://i.vimeocdn.com/video/751518620_160x90.jpg?r=pad	/home/koteeshv/Desktop/thenx-clone/thenx-clone/i.vimeocdn.com/video/751518620_160x908862.jpg	(from https://www.thenx.com/featured_workouts/901?level=advanced)
11:09:22	2192/2192	---M--	200	added ('OK')	image/jpeg	etag:9ab874fc9f1062bf0e2d7a0e1cfdb278	https://i.vimeocdn.com/video/752268494_160x90.jpg?r=pad	/home/koteeshv/Desktop/thenx-clone/thenx-clone/i.vimeocdn.com/video/752268494_160x908862.jpg	(from https://www.thenx.com/featured_workouts/901?level=advanced)
11:09:23	2436/2436	---M--	200	added ('OK')	image/jpeg	etag:f6c45b7e33906dce2d00a934fc171f27	https://i.vimeocdn.com/video/752043977_160x90.jpg?r=pad	/home/koteeshv/Desktop/thenx-clone/thenx-clone/i.vimeocdn.com/video/752043977_160x908862.jpg	(from https://www.thenx.com/featured_workouts/901?level=advanced)
11:09:26	115140/115140	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Apr%202019%2020:17:58%20GMT	https://dfd5gcc6b7vw5.cloudfront.net/assets/thenx-header-b0f1a2685be5ff4f739a7333baf90c8045a39f170347548609b634e39709357c.jpg	/home/koteeshv/Desktop/thenx-clone/thenx-clone/dfd5gcc6b7vw5.cloudfront.net/assets/thenx-header-b0f1a2685be5ff4f739a7333baf90c8045a39f170347548609b634e39709357c.jpg	(from https://dfd5gcc6b7vw5.cloudfront.net/assets/application-a15ca16566fc64f3e13c6ec6a2ec08d3bc7b309a6b66786d45d93b935b880984.css)
11:09:26	2429/2429	URF---	200	added ('OK%20(cached)')	image/jpeg		https://i.vimeocdn.com/video/752015096_160x90.jpg?r=pad	/home/koteeshv/Desktop/thenx-clone/thenx-clone/i.vimeocdn.com/video/752015096_160x908862.jpg	(from https://www.thenx.com/featured_workouts/901?level=beginner)
11:09:26	59379/59379	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Apr%202019%2020:17:58%20GMT	https://dfd5gcc6b7vw5.cloudfront.net/assets/thenx-footer-24e7f3e5fe00928e95944891a14955366b4f613552ef83a87a0703bb8fe0464a.jpg	/home/koteeshv/Desktop/thenx-clone/thenx-clone/dfd5gcc6b7vw5.cloudfront.net/assets/thenx-footer-24e7f3e5fe00928e95944891a14955366b4f613552ef83a87a0703bb8fe0464a.jpg	(from https://dfd5gcc6b7vw5.cloudfront.net/assets/application-a15ca16566fc64f3e13c6ec6a2ec08d3bc7b309a6b66786d45d93b935b880984.css)
11:09:27	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2003%20May%202020%2005:38:45%20GMT	https://dfd5gcc6b7vw5.cloudfront.net/assets/application-0f96c4876903b9f51beffb5a59cdc7a45a0c8e6a76c869afa3a1b6d9475ca9be.js	/home/koteeshv/Desktop/thenx-clone/thenx-clone/dfd5gcc6b7vw5.cloudfront.net/assets/application-0f96c4876903b9f51beffb5a59cdc7a45a0c8e6a76c869afa3a1b6d9475ca9be.js	(from https://www.thenx.com/featured_workouts/901?level=beginner)
11:09:27	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2003%20May%202020%2005:38:48%20GMT	https://dfd5gcc6b7vw5.cloudfront.net/assets/thenx-header-b0f1a2685be5ff4f739a7333baf90c8045a39f170347548609b634e39709357c.jpg	/home/koteeshv/Desktop/thenx-clone/thenx-clone/dfd5gcc6b7vw5.cloudfront.net/assets/thenx-header-b0f1a2685be5ff4f739a7333baf90c8045a39f170347548609b634e39709357c.jpg	(from https://dfd5gcc6b7vw5.cloudfront.net/assets/application-a15ca16566fc64f3e13c6ec6a2ec08d3bc7b309a6b66786d45d93b935b880984.css)
11:09:27	0/0	UR-M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2005:38:45%20GMT	https://res.cloudinary.com/thenx-production/image/upload///featured_workouts/legs-2.jpg	/home/koteeshv/Desktop/thenx-clone/thenx-clone/res.cloudinary.com/thenx-production/image/upload/featured_workouts/legs-2.jpg	(from https://www.thenx.com/featured_workouts/901?level=beginner)
11:09:27	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2003%20May%202020%2005:38:48%20GMT	https://dfd5gcc6b7vw5.cloudfront.net/assets/thenx-footer-24e7f3e5fe00928e95944891a14955366b4f613552ef83a87a0703bb8fe0464a.jpg	/home/koteeshv/Desktop/thenx-clone/thenx-clone/dfd5gcc6b7vw5.cloudfront.net/assets/thenx-footer-24e7f3e5fe00928e95944891a14955366b4f613552ef83a87a0703bb8fe0464a.jpg	(from https://dfd5gcc6b7vw5.cloudfront.net/assets/application-a15ca16566fc64f3e13c6ec6a2ec08d3bc7b309a6b66786d45d93b935b880984.css)
11:09:29	223950/223950	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Apr%202019%2020:17:58%20GMT	https://dfd5gcc6b7vw5.cloudfront.net/assets/weight-west-141d808a62d8d53752d61f64031e41e3e695fd52072966a06a9936ad29251e2e.jpg	/home/koteeshv/Desktop/thenx-clone/thenx-clone/dfd5gcc6b7vw5.cloudfront.net/assets/weight-west-141d808a62d8d53752d61f64031e41e3e695fd52072966a06a9936ad29251e2e.jpg	(from https://dfd5gcc6b7vw5.cloudfront.net/assets/application-a15ca16566fc64f3e13c6ec6a2ec08d3bc7b309a6b66786d45d93b935b880984.css)
11:09:31	816926/816926	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2249279363201ed19a840796e05a74a91b%22	https://use.fontawesome.com/releases/v5.8.1/webfonts/fa-solid-900.svg	/home/koteeshv/Desktop/thenx-clone/thenx-clone/use.fontawesome.com/releases/v5.8.1/webfonts/fa-solid-900.svg	(from https://use.fontawesome.com/releases/v5.8.1/css/solid.css)
11:09:33	694587/694587	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2285dcebc2b9d56a2b94f79c8a7b731b00%22	https://use.fontawesome.com/releases/v5.8.0/webfonts/fa-brands-400.svg	/home/koteeshv/Desktop/thenx-clone/thenx-clone/use.fontawesome.com/releases/v5.8.0/webfonts/fa-brands-400.svg	(from https://use.fontawesome.com/releases/v5.8.0/css/brands.css)
